"filename", "language", "TypeScript JSX", "PostCSS", "TypeScript", "JSON", "JavaScript", "XML", "comment", "blank", "total"
"c:\Users\HABIB\Desktop\LMS\LMS\src\App.css", "PostCSS", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\HABIB\Desktop\LMS\LMS\src\App.tsx", "TypeScript JSX", 52, 0, 0, 0, 0, 0, 0, 8, 60
"c:\Users\HABIB\Desktop\LMS\LMS\src\assets\Images\Compare_with_others.svg", "XML", 0, 0, 0, 0, 0, 52, 0, 1, 53
"c:\Users\HABIB\Desktop\LMS\LMS\src\assets\Images\Know_your_progress.svg", "XML", 0, 0, 0, 0, 0, 45, 0, 1, 46
"c:\Users\HABIB\Desktop\LMS\LMS\src\assets\Images\Plan_your_lessons.svg", "XML", 0, 0, 0, 0, 0, 86, 0, 1, 87
"c:\Users\HABIB\Desktop\LMS\LMS\src\assets\Images\bghome.svg", "XML", 0, 0, 0, 0, 0, 71, 0, 1, 72
"c:\Users\HABIB\Desktop\LMS\LMS\src\assets\TimeLineLogo\Logo1.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\HABIB\Desktop\LMS\LMS\src\assets\TimeLineLogo\Logo2.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\HABIB\Desktop\LMS\LMS\src\assets\TimeLineLogo\Logo3.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\HABIB\Desktop\LMS\LMS\src\assets\TimeLineLogo\Logo4.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\HABIB\Desktop\LMS\LMS\src\components\common\ContactUsForm.tsx", "TypeScript JSX", 144, 0, 0, 0, 0, 0, 6, 12, 162
"c:\Users\HABIB\Desktop\LMS\LMS\src\components\common\Footer.tsx", "TypeScript JSX", 57, 0, 0, 0, 0, 0, 6, 10, 73
"c:\Users\HABIB\Desktop\LMS\LMS\src\components\common\Navbar.tsx", "TypeScript JSX", 96, 0, 0, 0, 0, 0, 8, 14, 118
"c:\Users\HABIB\Desktop\LMS\LMS\src\components\core\Auth\ProfileDropdown.tsx", "TypeScript JSX", 84, 0, 0, 0, 0, 0, 3, 8, 95
"c:\Users\HABIB\Desktop\LMS\LMS\src\components\core\Dashboard\Cart.tsx", "TypeScript JSX", 112, 0, 0, 0, 0, 0, 5, 11, 128
"c:\Users\HABIB\Desktop\LMS\LMS\src\components\core\Dashboard\ChipInput.tsx", "TypeScript JSX", 45, 0, 0, 0, 0, 0, 1, 9, 55
"c:\Users\HABIB\Desktop\LMS\LMS\src\components\core\Dashboard\EnrolledCourses.tsx", "TypeScript JSX", 49, 0, 0, 0, 0, 0, 0, 8, 57
"c:\Users\HABIB\Desktop\LMS\LMS\src\components\core\Dashboard\LogoutModel.tsx", "TypeScript JSX", 55, 0, 0, 0, 0, 0, 3, 8, 66
